
0,2,1
0,1,1
0,3,1
0,4,2
0,6,1
0,13,2
0,80,2
0,81,2
0,82,3
0,83,4
0,84,1

1,0,1
1,4,1

2,0,1
2,4,1

3,0,1
3,4,1
3,5,1
3,6,1
3,41,1
3,42,1
3,59,1

4,0,1
4,1,1
4,2,1
4,3,1
4,13,1
4,17,1
4,18,1
4,47,2
4,68,1
4,73,1
4,76,5

5,3,1
5,4,1
5,6,1
5,85,1

6,0,1
6,3,1
6,5,1
6,7,1

7,6,1

8,9,1
8,31,1

9,8,1
9,10,1
9,31,1
9,32,1

10,9,1
10,11,1
10,12,1

11,10,1
11,12,1

12,10,1
12,11,1

13,0,1
13,4,1
13,14,1
13,15,1
13,16,1
13,37,1
13,44,1
13,48,1
13,85,1

14,13,1
14,37,1

15,13,1
15,44,4
15,47,1

16,13,1

17,4,1
17,20,1
17,68,1

18,4,1
18,19,1

19,18,1
19,28,1

20,17,1
20,21,1
20,23,1
20,24,1
20,27,1
20,87,1
20,46,1

21,20,1
21,27,1
21,72,1

22,20,1
22,21,1
22,23,1

23,20,1
23,22,1
23,24,1
23,25,1
23,26,1
23,48,1

24,20,1
24,23,1
24,29,1

25,23,1

26,23,1

27,20,1
27,21,1

28,19,1
28,20,1
28,31,1

29,24,1
29,30,1
29,56,1
29,60,1

30,29,1

31,8,1
31,9,1
31,32,1
31,34,1
31,36,1
31,45,1

32,9,1
32,31,1

33,34,1
33,35,1

34,31,1
34,33,1
34,35,1

35,33,1
35,34,1

36,31,1
36,38,1
36,45,1
36,49,1
36,53,1

37,13,1
37,14,1

38,36,1
38,39,1
38,40,1

39,38,1
39,40,1

40,38,1
40,70,1
40,39,1

41,3,1
41,42,1

42,3,1
42,41,1
42,43,1

43,42,1

44,15,1
44,45,1

45,31,1
45,36,1
45,44,1
45,46,1
45,54,1
45,69,1

46,45,1
46,20,1
46,68,1

47,4,1
47,15,1

48,13,1
48,23,1

49,36,1
49,50,1

50,49,1
50,51,1
50,52,1

51,50,1

52,50,1

53,36,1

54,45,1
54,55,1
54,69,1

55,54,1

56,29,1
56,57,1

57,56,1
57,69,1

58,69,1
58,74,1
58,75,1

59,3,1

60,29,1
60,61,1
60,63,1

61,60,1
61,62,1

62,61,1

63,60,1
63,64,1

64,63,1
64,65,1

65,64,1
65,67,1
65,89,1

66,67,1

67,65,1
67,68,1

68,4,1
68,17,1
68,46,1
68,67,1

69,45,1
69,54,1
69,57,1
69,58,1
69,86,1

70,40,1
70,71,1

71,70,1

72,21,1

73,4,1

74,58,1

75,58,1

76,4,1

77,78,1
77,79,1

78,77,1

79,77,1

80,0,2
	
81,0,2
	
82,0,3
	
83,0,4

84,0,1

85,13,1

86,69,1
86,90,1

87,20,1

89,65,1

90,86,1
